train_id,route_id,station_id,timestamp,scheduled_arrival,actual_arrival,scheduled_departure,actual_departure,speed,distance,current_delay,actual_section_time
12678,R1,KPD,2026-09-05 10:00,10:00,10:05,10:02,10:07,65,0,5,0
12678,R1,VLR,2026-09-05 10:45,10:40,10:45,10:42,10:47,68,70,5,38
12678,R1,KPD2,2026-09-05 11:35,11:25,11:35,11:27,11:37,70,135,10,43
12678,R1,JTJ,2026-09-05 12:25,12:10,12:25,12:12,12:27,72,205,15,50
12679,R1,KPD,2026-09-05 09:00,09:00,09:03,09:02,09:05,62,0,3,0
12679,R1,VLR,2026-09-05 09:42,09:40,09:43,09:42,09:45,66,70,3,38
12679,R1,KPD2,2026-09-05 10:30,10:25,10:32,10:27,10:34,69,135,7,49
12679,R1,JTJ,2026-09-05 11:20,11:15,11:22,11:17,11:24,71,205,7,50
12680,R1,KPD,2026-09-05 08:00,08:00,08:02,08:02,08:04,60,0,2,0
12680,R1,VLR,2026-09-05 08:40,08:38,08:42,08:40,08:44,64,70,4,38
12680,R1,KPD2,2026-09-05 09:30,09:23,09:31,09:25,09:33,67,135,8,49
12680,R1,JTJ,2026-09-05 10:20,10:13,10:22,10:15,10:24,70,205,9,49
